Time: 80.3847291563 seconds, RAM: 42.6184937251 Mb.
Time: 79.7265403829 seconds, RAM: 42.9375284612 Mb.
Time: 77.8926141746 seconds, RAM: 43.3758294617 Mb.
Time: 73.5284619375 seconds, RAM: 42.8264937152 Mb.
Time: 73.7392846153 seconds, RAM: 42.5928374628 Mb.
Time: 75.3748291746 seconds, RAM: 42.2846153927 Mb.
Time: 74.9284619375 seconds, RAM: 42.7392846153 Mb.
Time: 76.6153927461 seconds, RAM: 42.9375284612 Mb.
Time: 78.2846153927 seconds, RAM: 42.8264937152 Mb.
Time: 77.7392846153 seconds, RAM: 43.5928374628 Mb.
Time: 71.8264937152 seconds, RAM: 42.3748291563 Mb.
Time: 70.5928374628 seconds, RAM: 42.7392846153 Mb.
Time: 68.2846153927 seconds, RAM: 42.9375284612 Mb.
Time: 69.7392846153 seconds, RAM: 42.8264937152 Mb.
