Time: 72.5384912673 seconds, RAM: 42.8193628451 Mb.
Time: 74.7154923847 seconds, RAM: 42.7842653842 Mb.
Time: 78.1032741489 seconds, RAM: 42.7960847125 Mb.
Time: 81.9960511839 seconds, RAM: 42.9952039843 Mb.
Time: 77.4056941776 seconds, RAM: 42.7295789127 Mb.
Time: 80.1437322542 seconds, RAM: 42.8702039843 Mb.
Time: 78.3089761183 seconds, RAM: 42.8584847125 Mb.
Time: 70.1123260901 seconds, RAM: 43.2100479127 Mb.
Time: 77.1641342089 seconds, RAM: 42.9795789127 Mb.
Time: 74.8862482950 seconds, RAM: 42.6631716309 Mb.
Time: 74.7914893076 seconds, RAM: 42.9131716309 Mb.
Time: 75.2636742041 seconds, RAM: 42.9092653842 Mb.
Time: 74.8101643965 seconds, RAM: 42.5850479127 Mb.
Time: 74.1114451334 seconds, RAM: 42.7178593750 Mb.
Time: 79.3224422380 seconds, RAM: 42.9991093750 Mb.
Time: 83.9946863100 seconds, RAM: 42.8819216309 Mb.
Time: 77.5857123777 seconds, RAM: 42.9717653842 Mb.
Time: 79.3678361818 seconds, RAM: 42.8037968750 Mb.
Time: 87.0633403704 seconds, RAM: 43.1006716309 Mb.
Time: 85.0802471087 seconds, RAM: 42.8623906250 Mb.
